id,customer_message,expected_intent,predicted_intent,intent_correct,expected_action,predicted_action,action_correct,intent_confidence,top_similarity,top3_similarity,top5_similarity,evidence_count,evidence_ids,draft_reply,action_reason,grounding_flags,provider_used,model_used,fallback_used,fallback_reason,severity,severity_confidence,severity_reason,system_status,agent_version
GS_001,@AppleSupport it's weird how my 6s starts acting up as soon as I update to iOS11... 🤔😒,software_system_issue,software_system_issue,1,AUTO_HANDLE,AUTO_HANDLE,1,0.96,0.8396462798118591,0.8314718206723531,0.8227461695671081,5,"['1071323', '809369', '2271662', '2255334', '957622']",Thanks for reaching out. Could you let us know which iOS version you have installed (Settings → General → About) and describe the specific behavior you’re seeing since the update? That information will help us investigate the issue.,Confidence and evidence quality are sufficient.,[],groq,openai/gpt-oss-120b,False,,,,,,
GS_002,@AppleSupport My phone now freezes when I have 1 app opened and trying to text.. or literally when trying to unlock. I am so upset right now,software_system_issue,software_system_issue,1,AUTO_HANDLE,AUTO_HANDLE,1,0.96,0.8507623672485352,0.8118067582448324,0.8012598276138305,5,"['282841', '1698324', '2429182', '1701624', '2112888']",We’re sorry you’re experiencing freezes. Could you let us know which iOS version your iPhone is running (Settings → General → About) and the country you’re located in? With that information we can guide you on the next steps.,Confidence and evidence quality are sufficient.,[],groq,openai/gpt-oss-120b,False,,,,,,
GS_003,"Why is it ok that my iPhone6 worked fine before IOS11, yet now it’s incredibly buggy and slow...constant app crashes. @115858 why have you broken my phone?! It worked fine!",software_system_issue,software_system_issue,1,AUTO_HANDLE,AUTO_HANDLE,1,0.97,0.803626298904419,0.7819405992825826,0.7710659384727478,5,"['1593259', '1424733', '543732', '1143560', '1975815']","We’d like to help get your iPhone back to normal. Could you let us know the iOS version that appears in **Settings > General > About**, and describe the crashes you’re seeing (which apps are affected, any error messages, when it happens, etc.)? Once we have those details we can work on a solution together.",Confidence and evidence quality are sufficient.,[],groq,openai/gpt-oss-120b,False,,,,,,
GS_004,"@AppleSupport Any idea why my iPhone 6 is showing my caller id even though I have that switched off? Since ios11. Use it for Work , 😞",software_system_issue,feature_inquiry_how_to,0,AUTO_HANDLE,AUTO_HANDLE,1,0.78,0.8907556533813477,0.8231905500094095,0.7826322913169861,5,"['855636', '1409699', '759873', '810319', '1776298']","Hi @AppleSupport, we’d like to help get this sorted.  

1. Did the caller‑ID behavior start after a recent iOS update?  
2. Which iOS version is your iPhone 6 running now? (Settings ▶ General ▶ About)  
3. Have you tried a simple restart of the device to see if the setting respects “Show My Caller ID” when it’s off?  

Let us know the details and we’ll take the next steps.",Confidence and evidence quality are sufficient.,[],groq,openai/gpt-oss-120b,False,,,,,,
GS_005,@AppleSupport iOS 11 - gps won’t track my location... any ideas?,software_system_issue,software_system_issue,1,AUTO_HANDLE,AUTO_HANDLE,1,0.94,0.8601417541503906,0.8557387391726176,0.846966290473938,5,"['2726869', '2478271', '1266542', '875141', '644929']","Hi there! To help pinpoint why GPS isn’t tracking on iOS 11, could you let us know:

1. Which iPhone model you’re using.  
2. Whether the issue occurs in the built‑in Maps app, a specific third‑party app, or across multiple apps.  
3. If you’ve already tried toggling **Settings → Privacy → Location Services** off and on, or resetting network settings.

With that information we can suggest the next steps to get your location working again.",Confidence and evidence quality are sufficient.,[],groq,openai/gpt-oss-120b,False,,,,,,
GS_006,"@AppleSupport In iOS 10, I’d ask Siri to text someone &amp; click on the text draft to open/edit it. iOS 11 sends me to Messages but doesn’t open a text draft",software_system_issue,feature_inquiry_how_to,0,AUTO_HANDLE,AUTO_HANDLE,1,0.97,0.6606761813163757,0.6497891743977865,0.6409306287765503,5,"['1080448', '1582145', '1149946', '2261532', '1095197']","We’re happy to help! Could you let us know exactly what happens after Siri creates the draft in iOS 11? When you tap the draft, does anything appear in Messages, or does it just open the app without the draft? Any additional details will help us figure out the best solution.",Confidence and evidence quality are sufficient.,[],groq,openai/gpt-oss-120b,False,,,,,,
GS_007,"@115858 I understand you guys have launched 3 new phones but for the love of god, stop messing with the operating system of your old users. I use an iPhone 6s and it hangs every other minute since I’ve updated my iOS. I might switch to Samsung if this problem isn’t fixed soon.",software_system_issue,software_system_issue,1,AUTO_HANDLE,AUTO_HANDLE,1,0.97,0.7129722237586975,0.7121084531148275,0.7110992908477783,5,"['505121', '1900135', '1007083', '627897', '2520672']","Hi @115858, I’m sorry you’re experiencing hangs after the update. Let’s see if we can get your iPhone 6s running smoothly again.

1. **Check the iOS version** – Open **Settings > General > About** and let me know which version is installed.  
2. **Free up storage** – If the device is close to full, try deleting unused apps, photos, or videos (Settings > General > iPhone Storage).  
3. **Force‑restart** – Press and hold **Power + Home** until the Apple logo appears, then release.  
4. **Update apps** – Open the App Store, tap **Updates**, and install any pending updates.  
5. **Reset settings** – If the issue persists, go to **Settings > General > Reset > Reset All Settings** (this won’t delete your data).

If you’ve already tried these steps or the problem continues, please let me know the iOS version you’re on and any specific apps that seem to trigger the hangs. I’ll be happy to investigate further.",Confidence and evidence quality are sufficient.,[],groq,openai/gpt-oss-120b,False,,,,,,
GS_008,My apple maps right now. Apparently I’ve been driving in the forest for a while. Thanks @AppleSupport for that great iOS update. 👍 https://t.co/m7mF5Cuh3r,software_system_issue,software_system_issue,1,AUTO_HANDLE,AUTO_HANDLE,1,0.93,0.7861826419830322,0.7484880288441976,0.7381798982620239,5,"['1096890', '1093345', '204131', '1266542', '1099707']","We’re sorry you’re experiencing this issue with Apple Maps. Could you let us know which iPhone model you’re using and the iOS version it’s running? Also, does the problem occur everywhere or only in specific locations? With that information we can investigate further.",Confidence and evidence quality are sufficient.,[],groq,openai/gpt-oss-120b,False,,,,,,
GS_009,"After updating my iPhone to #ios1102 I think it’s time to switch over to #android. My phone is shit now! 😡😤 Thanks, #apple. @applesupport",software_system_issue,software_system_issue,1,AUTO_HANDLE,AUTO_HANDLE,1,0.93,0.8193485736846924,0.8075111309687296,0.7963933825492859,5,"['741041', '1152766', '188315', '291839', '1359126']","We’re sorry to hear you’re having trouble after updating to iOS 11.0.2. Could you let us know the specific problems you’re experiencing (e.g., app crashes, performance issues, etc.) and which iPhone model you’re using? With those details we can help you get things back on track.",Confidence and evidence quality are sufficient.,[],groq,openai/gpt-oss-120b,False,,,,,,
GS_010,@AppleSupport Well I get an EDS008 error when trying to turn on Wi-Fi calling (this worked fine prior to update). every timei it restarts it dumps texts,software_system_issue,network_connectivity,0,AUTO_HANDLE,AUTO_HANDLE,1,0.78,0.7055323123931885,0.6905426979064941,0.6809964537620544,5,"['2731248', '1887782', '2519495', '1674190', '1164681']","Hi @AppleSupport,

I’m sorry you’re seeing the **EDS008** error and losing texts after a restart. Let’s try a few steps that often resolve Wi‑Fi Calling issues after an update:

1. **Restart your iPhone** – power it off, wait a few seconds, then turn it back on.  
2. **Check for a carrier settings update**: Settings → General → About. If a prompt appears, tap **Update**.  
3. **Reset network settings**: Settings → General → Transfer or Reset iPhone → Reset → Reset Network Settings. (You’ll need to reconnect to Wi‑Fi afterward.)  
4. **Turn Wi‑Fi Calling off, then back on**: Settings → Phone → Wi‑Fi Calling.  
5. If the error persists, refer to Apple’s guide for troubleshooting call and Wi‑Fi Calling problems here: https://t.co/U53YusKX3z  

After trying these steps, let us know if the EDS008 error is gone and whether your texts stay intact. We’ll be happy to investigate further if needed.",Confidence and evidence quality are sufficient.,[],groq,openai/gpt-oss-120b,False,,,,,,
