example_id,conversation_id,customer_tweet_id,customer_text,available_context,expected_intent,expected_action,expected_reason,difficulty,source_type,annotator_notes
GS_000,2425914,2425914,@AppleSupport my iPhone 7 is not updating to to latest software(iOS 11) what should I do ?,No Context,software_system_issue,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_001,1280643,1280643,@AppleSupport it's weird how my 6s starts acting up as soon as I update to iOS11... 🤔😒,No Context,software_system_issue,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_002,1157358,1157358,@AppleSupport My phone now freezes when I have 1 app opened and trying to text.. or literally when trying to unlock. I am so upset right now,No Context,software_system_issue,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_003,2350747,2350747,"Why is it ok that my iPhone6 worked fine before IOS11, yet now it’s incredibly buggy and slow...constant app crashes. @115858 why have you broken my phone?! It worked fine!",No Context,software_system_issue,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_004,400417,400417,"@AppleSupport Any idea why my iPhone 6 is showing my caller id even though I have that switched off? Since ios11. Use it for Work , 😞",No Context,software_system_issue,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_005,1830236,1830236,@AppleSupport iOS 11 - gps won’t track my location... any ideas?,No Context,software_system_issue,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_006,1974904,1974903,"@AppleSupport In iOS 10, I’d ask Siri to text someone &amp; click on the text draft to open/edit it. iOS 11 sends me to Messages but doesn’t open a text draft",No Context,software_system_issue,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_007,2017112,2017112,"@115858 I understand you guys have launched 3 new phones but for the love of god, stop messing with the operating system of your old users. I use an iPhone 6s and it hangs every other minute since I’ve updated my iOS. I might switch to Samsung if this problem isn’t fixed soon.",No Context,software_system_issue,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_008,1924490,1924490,My apple maps right now. Apparently I’ve been driving in the forest for a while. Thanks @AppleSupport for that great iOS update. 👍 https://t.co/m7mF5Cuh3r,No Context,software_system_issue,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_009,325876,325876,"After updating my iPhone to #ios1102 I think it’s time to switch over to #android. My phone is shit now! 😡😤 Thanks, #apple. @applesupport",No Context,software_system_issue,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_010,407980,407978,@AppleSupport Well I get an EDS008 error when trying to turn on Wi-Fi calling (this worked fine prior to update). every timei it restarts it dumps texts,No Context,software_system_issue,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
